Popularity,Champion,Games Played,KDA,Win rate,Pick rate,Ban rate,CS,Gold
138,Renata Glasc,"3,084",2.67:1,49.16%,2.4%,0.79%,33.74,"8,333"
139,Rammus,"3,001",2.75:1,50.25%,2.34%,5.24%,149.89,"10,820"
140,Lissandra,"2,982",2.43:1,48.66%,2.32%,1.26%,185.53,"11,530"
141,Bard,"2,979",2.96:1,49.58%,2.32%,0.47%,33.09,"8,582"
142,Singed,"2,972",1.84:1,50.2%,2.32%,0.88%,197.18,"11,771"
143,Zoe,"2,864",2.42:1,47.66%,2.23%,1.08%,129.62,"10,791"
144,Nidalee,"2,855",2.58:1,46.65%,2.23%,1.06%,165.33,"11,765"
145,Naafiri,"2,807",2.34:1,52.62%,2.19%,1.61%,180.47,"12,631"
146,Karthus,"2,784",2.34:1,48.42%,2.17%,0.97%,206.81,"13,171"
147,Zilean,"2,775",2.98:1,49.26%,2.16%,0.92%,66.77,"8,946"
148,Evelynn,"2,715",2.57:1,48.4%,2.12%,1.83%,158.82,"11,993"
149,Kog'Maw,"2,715",2.29:1,51.57%,2.12%,0.96%,185.75,"12,465"
150,Akshan,"2,515",2.12:1,47.32%,1.96%,1.4%,180.2,"12,690"
151,Anivia,"2,453",2.85:1,51.45%,1.91%,1.34%,170.65,"11,389"
152,Rumble,"2,410",2.13:1,48.8%,1.88%,0.37%,181.24,"11,797"
153,Shyvana,"2,367",2.33:1,50.49%,1.85%,0.6%,212.08,"12,789"
154,Kassadin,"2,140",2.41:1,48.32%,1.67%,1.18%,183.82,"12,100"
155,Bel'Veth,"2,124",2.18:1,46.42%,1.66%,1.03%,185.88,"12,142"
156,Qiyana,"2,120",2.23:1,48.96%,1.65%,0.47%,177.65,"12,449"
157,Zeri,"2,052",2.24:1,47.32%,1.6%,0.3%,217.23,"12,898"
158,Taliyah,"1,930",2.29:1,47.1%,1.5%,0.34%,184.74,"12,034"
159,Annie,"1,930",2.3:1,48.81%,1.5%,0.37%,148.06,"11,138"
160,Nilah,"1,913",2.24:1,49.87%,1.49%,1.73%,191.19,"12,927"
161,Kennen,"1,893",2.2:1,49.18%,1.48%,0.64%,174.74,"11,744"
162,Taric,"1,718",2.75:1,50.52%,1.34%,0.47%,39.47,"8,360"
163,Kalista,"1,711",2.13:1,46.58%,1.33%,0.58%,185.18,"12,670"
164,Cassiopeia,"1,680",2.12:1,49.76%,1.31%,1.02%,192.16,"11,976"
165,Quinn,"1,645",1.91:1,47.78%,1.28%,0.68%,172.22,"12,488"
166,Kled,"1,520",2.07:1,46.25%,1.18%,0.45%,171.18,"12,147"
167,Ivern,"1,404",3.53:1,51%,1.09%,0.46%,136.62,"10,264"
168,Olaf,"1,291",1.71:1,48.1%,1.01%,0.49%,186.58,"12,122"
169,Rek'Sai,973,2.6:1,48%,0.76%,0.22%,154.44,"11,322"
